"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","SEIFA_IRSD","Service_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"14A.1","2022","Aged care target and planning populations (descriptive information)","50-69 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-69 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","51.7","11.6","40.2","17.8","7.8","5.8","1.3","11.8","148.0"
"14A.1","2022","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 65+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 65+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1476.6","1120.8","909.2","442.1","358.3","120.5","62.0","31.7","4521.3"
"14A.1","2022","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 70+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 70+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1066.3","797.7","656.1","315.2","260.1","87.2","44.2","24.7","3251.7"
"14A.1","2022","Aged care target and planning populations (descriptive information)","All ages","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","Total","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","8544.7","7045.7","5363.3","2727.7","1786.5","543.6","455.6","259.9","26727.0"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","65+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","939.2","759.0","504.1","317.9","235.7","..","59.0","..","2814.9"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","343.5","256.7","209.5","44.2","53.1","71.5","0","..","978.5"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","105.4","62.7","116.6","35.9","42.2","38.6","..","13.6","415.1"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","5.5","0.9","11.0","9.6","10.0","1.9","..","4.8","43.6"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1.4","..","6.9","5.6","2.3","0.7","..","2.5","19.3"
"14A.1","2021","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","65+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1395.0","1079.3","848.0","413.2","343.3","112.8","59.1","20.9","4271.5"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","70+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","663.2","537.6","355.6","222.2","169.6","..","41.3","..","1989.5"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","243.8","179.0","147.0","30.1","37.6","50.7","0","..","688.2"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","73.7","44.2","78.9","24.6","29.7","26.4","..","8.2","285.6"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","3.8","0.6","7.2","6.1","7.0","1.3","..","2.9","28.9"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","70+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","0.9","..","4.5","3.1","1.4","0.5","..","1.3","11.7"
"14A.1","2021","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","70+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","985.4","761.4","593.2","286.1","245.4","78.8","41.3","12.3","3003.8"
"14A.1","2021","Aged care target and planning populations (descriptive information)","50+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50+ years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","61.9","13.7","46.8","20.2","9.0","7.1","1.4","13.3","173.6"
"14A.1","2021","Aged care target and planning populations (descriptive information)","50-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-64 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","41.8","9.4","32.6","14.6","6.4","4.7","1.0","9.8","120.2"
"14A.1","2021","Aged care target and planning populations (descriptive information)","50-69 years old","All people","Aboriginal and Torres Strait Islander people","All areas","","","","Aged care target and planning population at 30 June","Aboriginal and Torres Strait Islander people","50-69 years old","","","","","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","50.1","11.2","38.7","17.1","7.6","5.7","1.2","11.5","143.1"
"14A.1","2021","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 65+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 65+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1436.7","1088.6","880.5","427.8","349.7","117.5","60.1","30.7","4391.7"
"14A.1","2021","Aged care target and planning populations (descriptive information)","50+ years old (Aboriginal and Torres Strait Islander people) and 70+ years old (non-Indigenous people)","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","50+ years old (Aboriginal and Torres Strait Islander) and 70+ years old (non-Indigenous)","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","'000","1035.5","772.6","631.9","303.2","252.9","84.5","42.5","23.8","3147.0"
"14A.1","2021","Aged care target and planning populations (descriptive information)","All ages","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","Total","","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","8412.4","6904.5","5275.6","2691.5","1773.1","540.0","447.0","257.1","26301.3"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","65+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","913.5","736.6","488.2","307.3","230.7","..","57.1","..","2733.5"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","334.0","248.2","202.6","42.3","51.4","69.6","0","..","948.1"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Outer regional","","","","Aged care target and planning population at 30 June","All people","65+ years old","Outer Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","102.9","61.1","112.6","34.7","41.1","37.5","..","13.2","403.0"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","5.4","0.9","10.5","9.2","9.7","1.9","..","4.6","42.1"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","Very remote","","","","Aged care target and planning population at 30 June","All people","65+ years old","Very Remote","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1.3","..","6.6","5.4","2.2","0.7","..","2.3","18.5"
"14A.1","2020","Aged care target and planning populations (descriptive information)","65+ years old","All people","All people","All areas","","","","Aged care target and planning population at 30 June","All people","65+ years old","All areas","","","","","","Derived from Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","1357.0","1046.8","820.6","398.9","335.0","109.6","57.1","20.1","4145.3"
"14A.1","2020","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Major cities","","","","Aged care target and planning population at 30 June","All people","70+ years old","Major Cities","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","643.4","520.8","342.1","213.6","165.1","..","39.6","..","1924.5"
"14A.1","2020","Aged care target and planning populations (descriptive information)","70+ years old","All people","All people","Inner regional","","","","Aged care target and planning population at 30 June","All people","70+ years old","Inner Regional","","","","","","Australian Government Department of Health Disability and Ageing Aged Care data Snapshot","'000","235.7","172.0","141.1","28.6","36.1","49.1","0","..","662.7"
