step,label,type,amount_m,running_total_m,closing_total_m
0,2014-15 total,Total,20280.7,20280.7,39799.4
1,Residential & flexible care,Increase,10894.6,31175.3,39799.4
2,Home care & support,Increase,7669.2,38844.5,39799.4
3,Assessment & information,Increase,563.7,39408.2,39799.4
4,Quality & Safety Commission,Increase,338.4,39746.6,39799.4
5,Workforce & quality,Increase,52.7,39799.3,39799.4
