state,programme,point_id,x,y,state_width_pct,programme_share_pct,population_65plus_000,rate_per_1000,year,x_centre
Tas,Residential aged care,4,95.4267,16.1257,2.644,16.13,129.8,46.7,2024-25,96.7488
Tas,Home Care Packages,1,95.4267,16.1257,2.644,20.51,129.8,59.4,2024-25,96.7488
Tas,Home Care Packages,2,98.0709,16.1257,2.644,20.51,129.8,59.4,2024-25,96.7488
Tas,Home Care Packages,3,98.0709,36.6367,2.644,20.51,129.8,59.4,2024-25,96.7488
Tas,Home Care Packages,4,95.4267,36.6367,2.644,20.51,129.8,59.4,2024-25,96.7488
Tas,Home support (CHSP),1,95.4267,36.6367,2.644,63.36,129.8,183.5,2024-25,96.7488
Tas,Home support (CHSP),2,98.0709,36.6367,2.644,63.36,129.8,183.5,2024-25,96.7488
Tas,Home support (CHSP),3,98.0709,100.0,2.644,63.36,129.8,183.5,2024-25,96.7488
Tas,Home support (CHSP),4,95.4267,100.0,2.644,63.36,129.8,183.5,2024-25,96.7488
ACT,Residential aged care,1,98.0709,0.0,1.395,19.26,68.5,47.7,2024-25,98.7686
ACT,Residential aged care,2,99.4663,0.0,1.395,19.26,68.5,47.7,2024-25,98.7686
ACT,Residential aged care,3,99.4663,19.2649,1.395,19.26,68.5,47.7,2024-25,98.7686
ACT,Residential aged care,4,98.0709,19.2649,1.395,19.26,68.5,47.7,2024-25,98.7686
ACT,Home Care Packages,1,98.0709,19.2649,1.395,19.35,68.5,47.9,2024-25,98.7686
ACT,Home Care Packages,2,99.4663,19.2649,1.395,19.35,68.5,47.9,2024-25,98.7686
ACT,Home Care Packages,3,99.4663,38.6107,1.395,19.35,68.5,47.9,2024-25,98.7686
ACT,Home Care Packages,4,98.0709,38.6107,1.395,19.35,68.5,47.9,2024-25,98.7686
ACT,Home support (CHSP),1,98.0709,38.6107,1.395,61.39,68.5,152.0,2024-25,98.7686
ACT,Home support (CHSP),2,99.4663,38.6107,1.395,61.39,68.5,152.0,2024-25,98.7686
ACT,Home support (CHSP),3,99.4663,100.0,1.395,61.39,68.5,152.0,2024-25,98.7686
ACT,Home support (CHSP),4,98.0709,100.0,1.395,61.39,68.5,152.0,2024-25,98.7686
NT,Residential aged care,1,99.4663,0.0,0.534,9.76,26.2,18.8,2024-25,99.7331
NT,Residential aged care,2,100.0,0.0,0.534,9.76,26.2,18.8,2024-25,99.7331
NT,Residential aged care,3,100.0,9.7561,0.534,9.76,26.2,18.8,2024-25,99.7331
NT,Residential aged care,4,99.4663,9.7561,0.534,9.76,26.2,18.8,2024-25,99.7331
NT,Home Care Packages,1,99.4663,9.7561,0.534,19.25,26.2,37.1,2024-25,99.7331
NT,Home Care Packages,2,100.0,9.7561,0.534,19.25,26.2,37.1,2024-25,99.7331
NT,Home Care Packages,3,100.0,29.0088,0.534,19.25,26.2,37.1,2024-25,99.7331
NT,Home Care Packages,4,99.4663,29.0088,0.534,19.25,26.2,37.1,2024-25,99.7331
NT,Home support (CHSP),1,99.4663,29.0088,0.534,70.99,26.2,136.8,2024-25,99.7331
NT,Home support (CHSP),2,100.0,29.0088,0.534,70.99,26.2,136.8,2024-25,99.7331
NT,Home support (CHSP),3,100.0,100.0,0.534,70.99,26.2,136.8,2024-25,99.7331
NT,Home support (CHSP),4,99.4663,100.0,0.534,70.99,26.2,136.8,2024-25,99.7331
